"filename", "language", "C++", "Markdown", "HTML", "Shell Script", "comment", "blank", "total"
"d:\RECENT\校招\技术\Program\acid\README.md", "Markdown", 0, 38, 0, 0, 0, 10, 48
"d:\RECENT\校招\技术\Program\acid\acid\acid.h", "C++", 29, 0, 0, 0, 3, 7, 39
"d:\RECENT\校招\技术\Program\acid\acid\common\byte_array.cpp", "C++", 543, 0, 0, 0, 3, 91, 637
"d:\RECENT\校招\技术\Program\acid\acid\common\byte_array.h", "C++", 99, 0, 0, 0, 323, 68, 490
"d:\RECENT\校招\技术\Program\acid\acid\common\config.cpp", "C++", 58, 0, 0, 0, 3, 8, 69
"d:\RECENT\校招\技术\Program\acid\acid\common\config.h", "C++", 338, 0, 0, 0, 8, 30, 376
"d:\RECENT\校招\技术\Program\acid\acid\common\lexical_cast.cpp", "C++", 32, 0, 0, 0, 3, 12, 47
"d:\RECENT\校招\技术\Program\acid\acid\common\lexical_cast.h", "C++", 119, 0, 0, 0, 6, 24, 149
"d:\RECENT\校招\技术\Program\acid\acid\common\reflection.h", "C++", 557, 0, 0, 0, 5, 10, 572
"d:\RECENT\校招\技术\Program\acid\acid\common\stream.cpp", "C++", 53, 0, 0, 0, 3, 6, 62
"d:\RECENT\校招\技术\Program\acid\acid\common\stream.h", "C++", 22, 0, 0, 0, 3, 7, 32
"d:\RECENT\校招\技术\Program\acid\acid\common\time_measure.h", "C++", 59, 0, 0, 0, 6, 10, 75
"d:\RECENT\校招\技术\Program\acid\acid\common\traits.h", "C++", 53, 0, 0, 0, 9, 14, 76
"d:\RECENT\校招\技术\Program\acid\acid\common\util.cpp", "C++", 72, 0, 0, 0, 3, 11, 86
"d:\RECENT\校招\技术\Program\acid\acid\common\util.h", "C++", 70, 0, 0, 0, 20, 22, 112
"d:\RECENT\校招\技术\Program\acid\acid\http\http.cpp", "C++", 261, 0, 0, 0, 9, 40, 310
"d:\RECENT\校招\技术\Program\acid\acid\http\http.h", "C++", 320, 0, 0, 0, 36, 33, 389
"d:\RECENT\校招\技术\Program\acid\acid\http\http_connection.cpp", "C++", 374, 0, 0, 0, 7, 39, 420
"d:\RECENT\校招\技术\Program\acid\acid\http\http_connection.h", "C++", 131, 0, 0, 0, 3, 23, 157
"d:\RECENT\校招\技术\Program\acid\acid\http\http_server.cpp", "C++", 38, 0, 0, 0, 3, 9, 50
"d:\RECENT\校招\技术\Program\acid\acid\http\http_server.h", "C++", 22, 0, 0, 0, 3, 4, 29
"d:\RECENT\校招\技术\Program\acid\acid\http\http_session.cpp", "C++", 57, 0, 0, 0, 3, 5, 65
"d:\RECENT\校招\技术\Program\acid\acid\http\http_session.h", "C++", 15, 0, 0, 0, 3, 7, 25
"d:\RECENT\校招\技术\Program\acid\acid\http\parse.cpp", "C++", 547, 0, 0, 0, 71, 57, 675
"d:\RECENT\校招\技术\Program\acid\acid\http\parse.h", "C++", 159, 0, 0, 0, 70, 54, 283
"d:\RECENT\校招\技术\Program\acid\acid\http\servlet.cpp", "C++", 89, 0, 0, 0, 3, 20, 112
"d:\RECENT\校招\技术\Program\acid\acid\http\servlet.h", "C++", 62, 0, 0, 0, 3, 17, 82
"d:\RECENT\校招\技术\Program\acid\acid\http\servlets\file_servlet.cpp", "C++", 33, 0, 0, 0, 4, 11, 48
"d:\RECENT\校招\技术\Program\acid\acid\http\servlets\file_servlet.h", "C++", 14, 0, 0, 0, 3, 3, 20
"d:\RECENT\校招\技术\Program\acid\acid\http\servlets\kvstore_servlet.cpp", "C++", 94, 0, 0, 0, 4, 13, 111
"d:\RECENT\校招\技术\Program\acid\acid\http\servlets\kvstore_servlet.h", "C++", 17, 0, 0, 0, 22, 4, 43
"d:\RECENT\校招\技术\Program\acid\acid\kvraft\commom.h", "C++", 79, 0, 0, 0, 7, 13, 99
"d:\RECENT\校招\技术\Program\acid\acid\kvraft\kvclient.cpp", "C++", 192, 0, 0, 0, 10, 23, 225
"d:\RECENT\校招\技术\Program\acid\acid\kvraft\kvclient.h", "C++", 50, 0, 0, 0, 31, 12, 93
"d:\RECENT\校招\技术\Program\acid\acid\kvraft\kvserver.cpp", "C++", 229, 0, 0, 0, 4, 19, 252
"d:\RECENT\校招\技术\Program\acid\acid\kvraft\kvserver.h", "C++", 44, 0, 0, 0, 3, 8, 55
"d:\RECENT\校招\技术\Program\acid\acid\net\address.cpp", "C++", 431, 0, 0, 0, 7, 79, 517
"d:\RECENT\校招\技术\Program\acid\acid\net\address.h", "C++", 135, 0, 0, 0, 47, 44, 226
"d:\RECENT\校招\技术\Program\acid\acid\net\socket.cpp", "C++", 352, 0, 0, 0, 5, 45, 402
"d:\RECENT\校招\技术\Program\acid\acid\net\socket.h", "C++", 87, 0, 0, 0, 87, 36, 210
"d:\RECENT\校招\技术\Program\acid\acid\net\socket_stream.cpp", "C++", 53, 0, 0, 0, 3, 12, 68
"d:\RECENT\校招\技术\Program\acid\acid\net\socket_stream.h", "C++", 24, 0, 0, 0, 3, 8, 35
"d:\RECENT\校招\技术\Program\acid\acid\net\tcp_server.cpp", "C++", 88, 0, 0, 0, 4, 12, 104
"d:\RECENT\校招\技术\Program\acid\acid\net\tcp_server.h", "C++", 33, 0, 0, 0, 5, 12, 50
"d:\RECENT\校招\技术\Program\acid\acid\net\uri.cpp", "C++", 286, 0, 0, 0, 43, 24, 353
"d:\RECENT\校招\技术\Program\acid\acid\net\uri.h", "C++", 111, 0, 0, 0, 11, 14, 136
"d:\RECENT\校招\技术\Program\acid\acid\raft\entry.h", "C++", 23, 0, 0, 0, 11, 5, 39
"d:\RECENT\校招\技术\Program\acid\acid\raft\persister.cpp", "C++", 83, 0, 0, 0, 4, 11, 98
"d:\RECENT\校招\技术\Program\acid\acid\raft\persister.h", "C++", 43, 0, 0, 0, 28, 7, 78
"d:\RECENT\校招\技术\Program\acid\acid\raft\raft_log.cpp", "C++", 239, 0, 0, 0, 14, 36, 289
"d:\RECENT\校招\技术\Program\acid\acid\raft\raft_log.h", "C++", 57, 0, 0, 0, 100, 8, 165
"d:\RECENT\校招\技术\Program\acid\acid\raft\raft_node.cpp", "C++", 488, 0, 0, 0, 75, 85, 648
"d:\RECENT\校招\技术\Program\acid\acid\raft\raft_node.h", "C++", 106, 0, 0, 0, 117, 14, 237
"d:\RECENT\校招\技术\Program\acid\acid\raft\raft_peer.cpp", "C++", 94, 0, 0, 0, 9, 13, 116
"d:\RECENT\校招\技术\Program\acid\acid\raft\raft_peer.h", "C++", 94, 0, 0, 0, 19, 17, 130
"d:\RECENT\校招\技术\Program\acid\acid\raft\snapshot.cpp", "C++", 106, 0, 0, 0, 9, 16, 131
"d:\RECENT\校招\技术\Program\acid\acid\raft\snapshot.h", "C++", 50, 0, 0, 0, 44, 8, 102
"d:\RECENT\校招\技术\Program\acid\acid\rpc\protocol.h", "C++", 99, 0, 0, 0, 16, 19, 134
"d:\RECENT\校招\技术\Program\acid\acid\rpc\pubsub.h", "C++", 39, 0, 0, 0, 25, 9, 73
"d:\RECENT\校招\技术\Program\acid\acid\rpc\route_strategy.h", "C++", 111, 0, 0, 0, 32, 9, 152
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc.h", "C++", 85, 0, 0, 0, 31, 17, 133
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc_client.cpp", "C++", 373, 0, 0, 0, 25, 44, 442
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc_client.h", "C++", 153, 0, 0, 0, 113, 35, 301
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc_server.cpp", "C++", 293, 0, 0, 0, 15, 38, 346
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc_server.h", "C++", 84, 0, 0, 0, 57, 17, 158
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc_session.cpp", "C++", 33, 0, 0, 0, 3, 10, 46
"d:\RECENT\校招\技术\Program\acid\acid\rpc\rpc_session.h", "C++", 18, 0, 0, 0, 20, 5, 43
"d:\RECENT\校招\技术\Program\acid\acid\rpc\serializer.h", "C++", 376, 0, 0, 0, 35, 45, 456
"d:\RECENT\校招\技术\Program\acid\build.sh", "Shell Script", 0, 0, 0, 16, 1, 3, 20
"d:\RECENT\校招\技术\Program\acid\docs\go style协程设计.md", "Markdown", 0, 95, 0, 0, 0, 30, 125
"d:\RECENT\校招\技术\Program\acid\docs\rpc连接复用设计.md", "Markdown", 0, 132, 0, 0, 0, 38, 170
"d:\RECENT\校招\技术\Program\acid\docs\分布式kv存储.md", "Markdown", 0, 806, 0, 0, 0, 85, 891
"d:\RECENT\校招\技术\Program\acid\docs\反射实现无侵入式序列化.md", "Markdown", 0, 186, 0, 0, 0, 31, 217
"d:\RECENT\校招\技术\Program\acid\docs\无栈协程状态机解析HTTP.md", "Markdown", 0, 498, 0, 0, 0, 32, 530
"d:\RECENT\校招\技术\Program\acid\docs\旧版README.md", "Markdown", 0, 360, 0, 0, 0, 94, 454
"d:\RECENT\校招\技术\Program\acid\docs\服务订阅与通知.md", "Markdown", 0, 117, 0, 0, 0, 9, 126
"d:\RECENT\校招\技术\Program\acid\docs\通用协程同步原语设计.md", "Markdown", 0, 491, 0, 0, 0, 99, 590
"d:\RECENT\校招\技术\Program\acid\example\kvhttp\KVHttpServer接口文档.md", "Markdown", 0, 125, 0, 0, 0, 28, 153
"d:\RECENT\校招\技术\Program\acid\example\kvhttp\index.html", "HTML", 0, 0, 199, 0, 0, 2, 201
"d:\RECENT\校招\技术\Program\acid\example\kvhttp\kvhttp_server.cpp", "C++", 48, 0, 0, 0, 7, 9, 64
"d:\RECENT\校招\技术\Program\acid\tests\http\test_http.cpp", "C++", 18, 0, 0, 0, 4, 1, 23
"d:\RECENT\校招\技术\Program\acid\tests\http\test_http_connection.cpp", "C++", 46, 0, 0, 0, 4, 6, 56
"d:\RECENT\校招\技术\Program\acid\tests\http\test_http_parse.cpp", "C++", 51, 0, 0, 0, 3, 6, 60
"d:\RECENT\校招\技术\Program\acid\tests\http\test_http_server.cpp", "C++", 54, 0, 0, 0, 8, 6, 68
"d:\RECENT\校招\技术\Program\acid\tests\kvraft\test_kvclient.cpp", "C++", 69, 0, 0, 0, 3, 13, 85
"d:\RECENT\校招\技术\Program\acid\tests\kvraft\test_kvserver.cpp", "C++", 27, 0, 0, 0, 9, 6, 42
"d:\RECENT\校招\技术\Program\acid\tests\raft\test_persister.cpp", "C++", 32, 0, 0, 0, 4, 10, 46
"d:\RECENT\校招\技术\Program\acid\tests\raft\test_raft_node_1.cpp", "C++", 45, 0, 0, 0, 6, 5, 56
"d:\RECENT\校招\技术\Program\acid\tests\raft\test_raft_node_2.cpp", "C++", 42, 0, 0, 0, 5, 5, 52
"d:\RECENT\校招\技术\Program\acid\tests\raft\test_raft_node_3.cpp", "C++", 42, 0, 0, 0, 5, 5, 52
"d:\RECENT\校招\技术\Program\acid\tests\rpc\test_route_strategy.cpp", "C++", 35, 0, 0, 0, 3, 3, 41
"d:\RECENT\校招\技术\Program\acid\tests\rpc\test_rpc_client.cpp", "C++", 117, 0, 0, 0, 8, 17, 142
"d:\RECENT\校招\技术\Program\acid\tests\rpc\test_rpc_server.cpp", "C++", 38, 0, 0, 0, 3, 6, 47
"d:\RECENT\校招\技术\Program\acid\tests\rpc\test_serializer.cpp", "C++", 127, 0, 0, 0, 4, 15, 146
"d:\RECENT\校招\技术\Program\acid\tests\test\test_address.cpp", "C++", 50, 0, 0, 0, 6, 2, 58
"d:\RECENT\校招\技术\Program\acid\tests\test\test_bytearray.cpp", "C++", 70, 0, 0, 0, 7, 4, 81
"d:\RECENT\校招\技术\Program\acid\tests\test\test_config.cpp", "C++", 63, 0, 0, 0, 16, 7, 86
"d:\RECENT\校招\技术\Program\acid\tests\test\test_socket.cpp", "C++", 94, 0, 0, 0, 5, 5, 104
"d:\RECENT\校招\技术\Program\acid\tests\test\test_tcp_server.cpp", "C++", 40, 0, 0, 0, 3, 4, 47
"d:\RECENT\校招\技术\Program\acid\tests\test\test_timer.cpp", "C++", 26, 0, 0, 0, 3, 3, 32
"d:\RECENT\校招\技术\Program\acid\tests\test\test_uri.cpp", "C++", 15, 0, 0, 0, 3, 2, 20
"Total", "-", 10727, 2848, 199, 16, 1837, 2089, 17716